"citizen","time","value"
"Other countries",2011-01-01,8460
"Other countries",2011-02-01,10335
"Other countries",2011-03-01,12000
"Other countries",2011-04-01,10330
"Other countries",2011-05-01,13870
"Other countries",2011-06-01,12350
"Other countries",2011-07-01,11830
"Other countries",2011-08-01,10870
"Other countries",2011-09-01,11480
"Other countries",2011-10-01,11040
"Other countries",2011-11-01,10590
"Other countries",2011-12-01,10095
"Other countries",2012-01-01,9905
"Other countries",2012-02-01,9570
"Other countries",2012-03-01,9875
"Other countries",2012-04-01,9055
"Other countries",2012-05-01,9750
"Other countries",2012-06-01,9855
"Other countries",2012-07-01,11080
"Other countries",2012-08-01,10485
"Other countries",2012-09-01,10890
"Other countries",2012-10-01,13780
"Other countries",2012-11-01,11720
"Other countries",2012-12-01,9480
"Other countries",2013-01-01,10745
"Other countries",2013-02-01,10505
"Other countries",2013-03-01,11135
"Other countries",2013-04-01,11085
"Other countries",2013-05-01,10380
"Other countries",2013-06-01,11080
"Other countries",2013-07-01,12900
"Other countries",2013-08-01,12465
"Other countries",2013-09-01,14645
"Other countries",2013-10-01,16870
"Other countries",2013-11-01,13840
"Other countries",2013-12-01,11075
"Other countries",2014-01-01,14235
"Other countries",2014-02-01,12715
"Other countries",2014-03-01,14315
"Other countries",2014-04-01,14445
"Other countries",2014-05-01,15205
"Other countries",2014-06-01,15765
"Other countries",2014-07-01,18055
"Other countries",2014-08-01,17310
"Other countries",2014-09-01,20900
"Other countries",2014-10-01,21980
"Other countries",2014-11-01,18110
"Other countries",2014-12-01,17195
"Other countries",2015-01-01,16125
"Other countries",2015-02-01,16020
"Other countries",2015-03-01,17815
"Other countries",2015-04-01,16575
"Other countries",2015-05-01,17990
"Other countries",2015-06-01,23025
"Other countries",2015-07-01,24220
"Other countries",2015-08-01,22910
"Other countries",2015-09-01,25165
"Pakistan",2008-01-01,275
"Pakistan",2008-02-01,320
"Pakistan",2008-03-01,280
"Pakistan",2008-04-01,390
"Pakistan",2008-05-01,340
"Pakistan",2008-06-01,360
"Pakistan",2008-07-01,425
"Pakistan",2008-08-01,290
"Pakistan",2008-09-01,395
"Pakistan",2008-10-01,435
"Pakistan",2008-11-01,470
"Pakistan",2008-12-01,345
"Pakistan",2009-01-01,425
"Pakistan",2009-02-01,500
"Pakistan",2009-03-01,535
"Pakistan",2009-04-01,490
"Pakistan",2009-05-01,600
"Pakistan",2009-06-01,565
"Pakistan",2009-07-01,545
"Pakistan",2009-08-01,380
"Pakistan",2009-09-01,375
"Pakistan",2009-10-01,395
"Pakistan",2009-11-01,420
"Pakistan",2009-12-01,385
"Pakistan",2010-01-01,355
"Pakistan",2010-02-01,390
"Pakistan",2010-03-01,490
"Pakistan",2010-04-01,435
"Pakistan",2010-05-01,390
"Pakistan",2010-06-01,530
"Pakistan",2010-07-01,475
"Pakistan",2010-08-01,455
"Pakistan",2010-09-01,595
"Pakistan",2010-10-01,645
"Pakistan",2010-11-01,655
"Pakistan",2010-12-01,575
"Pakistan",2011-01-01,870
"Pakistan",2011-02-01,980
"Pakistan",2011-03-01,1110
"Pakistan",2011-04-01,885
"Pakistan",2011-05-01,1240
"Pakistan",2011-06-01,1220
"Pakistan",2011-07-01,1285
"Pakistan",2011-08-01,1305
"Pakistan",2011-09-01,1595
"Pakistan",2011-10-01,1445
"Pakistan",2011-11-01,1625
"Pakistan",2011-12-01,1425
"Pakistan",2012-01-01,1345
"Pakistan",2012-02-01,1280
"Pakistan",2012-03-01,1305
"Pakistan",2012-04-01,1290
"Pakistan",2012-05-01,1325
"Pakistan",2012-06-01,1375
"Pakistan",2012-07-01,1460
"Pakistan",2012-08-01,1495
"Pakistan",2012-09-01,1585
"Pakistan",2012-10-01,1750
"Pakistan",2012-11-01,1795
"Pakistan",2012-12-01,1405
"Pakistan",2013-01-01,1360
"Pakistan",2013-02-01,1280
"Pakistan",2013-03-01,1410
"Pakistan",2013-04-01,1845
"Pakistan",2013-05-01,1765
"Pakistan",2013-06-01,1875
"Pakistan",2013-07-01,2090
"Pakistan",2013-08-01,1745
"Pakistan",2013-09-01,1615
"Pakistan",2013-10-01,1645
"Pakistan",2013-11-01,1485
"Pakistan",2013-12-01,1335
"Pakistan",2014-01-01,1670
"Pakistan",2014-02-01,1555
"Pakistan",2014-03-01,1755
"Pakistan",2014-04-01,1465
"Pakistan",2014-05-01,1495
"Pakistan",2014-06-01,1490
"Pakistan",2014-07-01,1805
"Pakistan",2014-08-01,1715
"Pakistan",2014-09-01,2035
"Pakistan",2014-10-01,2145
"Pakistan",2014-11-01,1900
"Pakistan",2014-12-01,1735
"Pakistan",2015-01-01,1750
"Pakistan",2015-02-01,1705
"Pakistan",2015-03-01,1915
"Pakistan",2015-04-01,2240
"Pakistan",2015-05-01,2700
"Pakistan",2015-06-01,3975
"Pakistan",2015-07-01,6655
"Pakistan",2015-08-01,9360
"Pakistan",2015-09-01,5330
"Russia",2008-01-01,1070
"Russia",2008-02-01,1015
"Russia",2008-03-01,820
"Russia",2008-04-01,915
"Russia",2008-05-01,860
"Russia",2008-06-01,815
"Russia",2008-07-01,915
"Russia",2008-08-01,950
"Russia",2008-09-01,1320
"Russia",2008-10-01,1160
"Russia",2008-11-01,995
"Russia",2008-12-01,1185
"Russia",2009-01-01,1015
"Russia",2009-02-01,1020
"Russia",2009-03-01,975
"Russia",2009-04-01,875
"Russia",2009-05-01,825
"Russia",2009-06-01,1090
"Russia",2009-07-01,1240
"Russia",2009-08-01,1490
"Russia",2009-09-01,1365
"Russia",2009-10-01,1560
"Russia",2009-11-01,1440
"Russia",2009-12-01,1715
"Russia",2010-01-01,1100
"Russia",2010-02-01,1135
"Russia",2010-03-01,1170
"Russia",2010-04-01,925
"Russia",2010-05-01,990
"Russia",2010-06-01,1060
"Russia",2010-07-01,1020
"Russia",2010-08-01,1255
"Russia",2010-09-01,1310
"Russia",2010-10-01,1265
"Russia",2010-11-01,1150
"Russia",2010-12-01,1230
"Russia",2011-01-01,915
"Russia",2011-02-01,920
"Russia",2011-03-01,1065
"Russia",2011-04-01,820
"Russia",2011-05-01,805
"Russia",2011-06-01,955
"Russia",2011-07-01,1110
"Russia",2011-08-01,1410
"Russia",2011-09-01,1260
"Russia",2011-10-01,1250
"Russia",2011-11-01,1215
"Russia",2011-12-01,1470
"Russia",2012-01-01,1215
"Russia",2012-02-01,1205
"Russia",2012-03-01,1250
"Russia",2012-04-01,1030
"Russia",2012-05-01,935
"Russia",2012-06-01,1095
"Russia",2012-07-01,1465
"Russia",2012-08-01,1540
"Russia",2012-09-01,1670
"Russia",2012-10-01,2130
"Russia",2012-11-01,2185
"Russia",2012-12-01,2305
"Russia",2013-01-01,2210
"Russia",2013-02-01,2105
"Russia",2013-03-01,2850
"Russia",2013-04-01,4560
"Russia",2013-05-01,5880
"Russia",2013-06-01,5170
"Russia",2013-07-01,3685
"Russia",2013-08-01,2710
"Russia",2013-09-01,2295
"Russia",2013-10-01,1705
"Russia",2013-11-01,1415
"Russia",2013-12-01,1225
"Russia",2014-01-01,1565
"Russia",2014-02-01,1120
"Russia",2014-03-01,1140
"Russia",2014-04-01,1170
"Russia",2014-05-01,1040
"Russia",2014-06-01,1060
"Russia",2014-07-01,1220
"Russia",2014-08-01,1180
"Russia",2014-09-01,1285
"Russia",2014-10-01,1245
"Russia",2014-11-01,1150
"Russia",2014-12-01,1190
"Russia",2015-01-01,1110
"Russia",2015-02-01,1105
"Russia",2015-03-01,1040
"Russia",2015-04-01,1085
"Russia",2015-05-01,1105
"Russia",2015-06-01,1480
"Russia",2015-07-01,1465
"Russia",2015-08-01,1905
"Russia",2015-09-01,2340
"Serbia",2008-01-01,725
"Serbia",2008-02-01,625
"Serbia",2008-03-01,450
"Serbia",2008-04-01,410
"Serbia",2008-05-01,340
"Serbia",2008-06-01,525
"Serbia",2008-07-01,465
"Serbia",2008-08-01,575
"Serbia",2008-09-01,625
"Serbia",2008-10-01,645
"Serbia",2008-11-01,655
"Serbia",2008-12-01,660
"Serbia",2009-01-01,265
"Serbia",2009-02-01,290
"Serbia",2009-03-01,355
"Serbia",2009-04-01,290
"Serbia",2009-05-01,330
"Serbia",2009-06-01,290
"Serbia",2009-07-01,275
"Serbia",2009-08-01,255
"Serbia",2009-09-01,340
"Serbia",2009-10-01,275
"Serbia",2009-11-01,435
"Serbia",2009-12-01,315
"Serbia",2010-01-01,245
"Serbia",2010-02-01,1145
"Serbia",2010-03-01,1720
"Serbia",2010-04-01,745
"Serbia",2010-05-01,545
"Serbia",2010-06-01,485
"Serbia",2010-07-01,485
"Serbia",2010-08-01,1025
"Serbia",2010-09-01,2645
"Serbia",2010-10-01,3190
"Serbia",2010-11-01,2170
"Serbia",2010-12-01,1365
"Serbia",2011-01-01,1045
"Serbia",2011-02-01,1000
"Serbia",2011-03-01,1215
"Serbia",2011-04-01,775
"Serbia",2011-05-01,530
"Serbia",2011-06-01,345
"Serbia",2011-07-01,335
"Serbia",2011-08-01,460
"Serbia",2011-09-01,780
"Serbia",2011-10-01,1320
"Serbia",2011-11-01,1995
"Serbia",2011-12-01,1940
"Serbia",2012-01-01,1390
"Serbia",2012-02-01,980
"Serbia",2012-03-01,815
"Serbia",2012-04-01,535
"Serbia",2012-05-01,480
"Serbia",2012-06-01,595
"Serbia",2012-07-01,835
"Serbia",2012-08-01,1340
"Serbia",2012-09-01,2230
"Serbia",2012-10-01,3530
"Serbia",2012-11-01,1815
"Serbia",2012-12-01,785
"Serbia",2013-01-01,855
"Serbia",2013-02-01,840
"Serbia",2013-03-01,730
"Serbia",2013-04-01,835
"Serbia",2013-05-01,690
"Serbia",2013-06-01,825
"Serbia",2013-07-01,1300
"Serbia",2013-08-01,1460
"Serbia",2013-09-01,1900
"Serbia",2013-10-01,1895
"Serbia",2013-11-01,2060
"Serbia",2013-12-01,1940
"Serbia",2014-01-01,2010
"Serbia",2014-02-01,1190
"Serbia",2014-03-01,1180
"Serbia",2014-04-01,1055
"Serbia",2014-05-01,1000
"Serbia",2014-06-01,1190
"Serbia",2014-07-01,2015
"Serbia",2014-08-01,1815
"Serbia",2014-09-01,1805
"Serbia",2014-10-01,2330
"Serbia",2014-11-01,2395
"Serbia",2014-12-01,2320
"Serbia",2015-01-01,2310
"Serbia",2015-02-01,2105
"Serbia",2015-03-01,1965
"Serbia",2015-04-01,1660
"Serbia",2015-05-01,1630
"Serbia",2015-06-01,1600
"Serbia",2015-07-01,1690
"Serbia",2015-08-01,1515
"Serbia",2015-09-01,1400
"Somalia",2008-01-01,1170
"Somalia",2008-02-01,800
"Somalia",2008-03-01,1150
"Somalia",2008-04-01,950
"Somalia",2008-05-01,1645
"Somalia",2008-06-01,1735
"Somalia",2008-07-01,1975
"Somalia",2008-08-01,2075
"Somalia",2008-09-01,1820
"Somalia",2008-10-01,1870
"Somalia",2008-11-01,1530
"Somalia",2008-12-01,1790
"Somalia",2009-01-01,1650
"Somalia",2009-02-01,1185
"Somalia",2009-03-01,1550
"Somalia",2009-04-01,1730
"Somalia",2009-05-01,1700
"Somalia",2009-06-01,1620
"Somalia",2009-07-01,1630
"Somalia",2009-08-01,1725
"Somalia",2009-09-01,1605
"Somalia",2009-10-01,1805
"Somalia",2009-11-01,1710
"Somalia",2009-12-01,1515
"Somalia",2010-01-01,1130
"Somalia",2010-02-01,1070
"Somalia",2010-03-01,1420
"Somalia",2010-04-01,1095
"Somalia",2010-05-01,910
"Somalia",2010-06-01,1180
"Somalia",2010-07-01,1345
"Somalia",2010-08-01,1800
"Somalia",2010-09-01,1270
"Somalia",2010-10-01,1260
"Somalia",2010-11-01,1120
"Somalia",2010-12-01,885
"Somalia",2011-01-01,980
"Somalia",2011-02-01,690
"Somalia",2011-03-01,815
"Somalia",2011-04-01,1295
"Somalia",2011-05-01,1500
"Somalia",2011-06-01,1035
"Somalia",2011-07-01,1100
"Somalia",2011-08-01,1140
"Somalia",2011-09-01,1155
"Somalia",2011-10-01,1240
"Somalia",2011-11-01,1090
"Somalia",2011-12-01,1220
"Somalia",2012-01-01,1215
"Somalia",2012-02-01,965
"Somalia",2012-03-01,990
"Somalia",2012-04-01,1060
"Somalia",2012-05-01,1495
"Somalia",2012-06-01,1525
"Somalia",2012-07-01,1355
"Somalia",2012-08-01,1350
"Somalia",2012-09-01,1255
"Somalia",2012-10-01,1435
"Somalia",2012-11-01,1630
"Somalia",2012-12-01,1440
"Somalia",2013-01-01,1365
"Somalia",2013-02-01,960
"Somalia",2013-03-01,1185
"Somalia",2013-04-01,1320
"Somalia",2013-05-01,1245
"Somalia",2013-06-01,1600
"Somalia",2013-07-01,1790
"Somalia",2013-08-01,1810
"Somalia",2013-09-01,1820
"Somalia",2013-10-01,1715
"Somalia",2013-11-01,1675
"Somalia",2013-12-01,1225
"Somalia",2014-01-01,1360
"Somalia",2014-02-01,1130
"Somalia",2014-03-01,1190
"Somalia",2014-04-01,1375
"Somalia",2014-05-01,1400
"Somalia",2014-06-01,1455
"Somalia",2014-07-01,1495
"Somalia",2014-08-01,1420
"Somalia",2014-09-01,1645
"Somalia",2014-10-01,1445
"Somalia",2014-11-01,1215
"Somalia",2014-12-01,1195
"Somalia",2015-01-01,1140
"Somalia",2015-02-01,1195
"Somalia",2015-03-01,1370
"Somalia",2015-04-01,1370
"Somalia",2015-05-01,2260
"Somalia",2015-06-01,2275
"Somalia",2015-07-01,2220
"Somalia",2015-08-01,1975
"Somalia",2015-09-01,2055
"Syria",2008-01-01,235
"Syria",2008-02-01,300
"Syria",2008-03-01,290
"Syria",2008-04-01,285
"Syria",2008-05-01,290
"Syria",2008-06-01,280
"Syria",2008-07-01,315
"Syria",2008-08-01,290
"Syria",2008-09-01,300
"Syria",2008-10-01,315
"Syria",2008-11-01,260
"Syria",2008-12-01,270
"Syria",2009-01-01,285
"Syria",2009-02-01,295
"Syria",2009-03-01,240
"Syria",2009-04-01,275
"Syria",2009-05-01,245
"Syria",2009-06-01,260
"Syria",2009-07-01,255
"Syria",2009-08-01,280
"Syria",2009-09-01,310
"Syria",2009-10-01,440
"Syria",2009-11-01,340
"Syria",2009-12-01,295
"Syria",2010-01-01,335
"Syria",2010-02-01,445
"Syria",2010-03-01,305
"Syria",2010-04-01,285
"Syria",2010-05-01,325
"Syria",2010-06-01,310
"Syria",2010-07-01,315
"Syria",2010-08-01,390
"Syria",2010-09-01,405
"Syria",2010-10-01,435
"Syria",2010-11-01,355
"Syria",2010-12-01,435
"Syria",2011-01-01,415
"Syria",2011-02-01,365
"Syria",2011-03-01,420
"Syria",2011-04-01,390
"Syria",2011-05-01,500
"Syria",2011-06-01,475
"Syria",2011-07-01,680
"Syria",2011-08-01,905
"Syria",2011-09-01,880
"Syria",2011-10-01,780
"Syria",2011-11-01,810
"Syria",2011-12-01,710
"Syria",2012-01-01,865
"Syria",2012-02-01,765
"Syria",2012-03-01,725
"Syria",2012-04-01,820
"Syria",2012-05-01,1085
"Syria",2012-06-01,1280
"Syria",2012-07-01,1945
"Syria",2012-08-01,2660
"Syria",2012-09-01,2980
"Syria",2012-10-01,3270
"Syria",2012-11-01,3245
"Syria",2012-12-01,2620
"Syria",2013-01-01,3305
"Syria",2013-02-01,2470
"Syria",2013-03-01,2600
"Syria",2013-04-01,2615
"Syria",2013-05-01,2610
"Syria",2013-06-01,2840
"Syria",2013-07-01,3555
"Syria",2013-08-01,3995
"Syria",2013-09-01,6255
"Syria",2013-10-01,7090
"Syria",2013-11-01,6610
"Syria",2013-12-01,5210
"Syria",2014-01-01,6360
"Syria",2014-02-01,5890
"Syria",2014-03-01,5780
"Syria",2014-04-01,6025
"Syria",2014-05-01,7585
"Syria",2014-06-01,9370
"Syria",2014-07-01,11930
"Syria",2014-08-01,12965
"Syria",2014-09-01,17095
"Syria",2014-10-01,15405
"Syria",2014-11-01,13575
"Syria",2014-12-01,12760
"Syria",2015-01-01,11360
"Syria",2015-02-01,8630
"Syria",2015-03-01,9980
"Syria",2015-04-01,11155
"Syria",2015-05-01,12940
"Syria",2015-06-01,20615
"Syria",2015-07-01,31455
"Syria",2015-08-01,49010
"Syria",2015-09-01,62825
