"citizen","geo","time","values","iso2"
"Andorra","Austria",2015-11-01,NA,"AT"
"Andorra","Belgium",2015-11-01,NA,"BE"
"Andorra","Bulgaria",2015-11-01,NA,"BG"
"Andorra","Switzerland",2015-11-01,NA,"CH"
"Andorra","Cyprus",2015-11-01,NA,"CY"
"Andorra","Czech Republic",2015-11-01,NA,"CZ"
"Andorra","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Andorra","Denmark",2015-11-01,NA,"DK"
"Andorra","Estonia",2015-11-01,NA,"EE"
"Andorra","Greece",2015-11-01,NA,"EL"
"Andorra","Spain",2015-11-01,NA,"ES"
"Andorra","European Union (28 countries)",2015-11-01,0,"EU28"
"Andorra","Finland",2015-11-01,0,"FI"
"Andorra","France",2015-11-01,NA,"FR"
"Andorra","Croatia",2015-11-01,NA,"HR"
"Andorra","Hungary",2015-11-01,NA,"HU"
"Andorra","Ireland",2015-11-01,NA,"IE"
"Andorra","Italy",2015-11-01,NA,"IT"
"Andorra","Lithuania",2015-11-01,NA,"LT"
"Andorra","Luxembourg",2015-11-01,NA,"LU"
"Andorra","Latvia",2015-11-01,NA,"LV"
"Andorra","Malta",2015-11-01,NA,"MT"
"Andorra","Netherlands",2015-11-01,NA,"NL"
"Andorra","Norway",2015-11-01,0,"NO"
"Andorra","Poland",2015-11-01,NA,"PL"
"Andorra","Portugal",2015-11-01,NA,"PT"
"Andorra","Romania",2015-11-01,NA,"RO"
"Andorra","Sweden",2015-11-01,NA,"SE"
"Andorra","Slovenia",2015-11-01,NA,"SI"
"Andorra","Slovakia",2015-11-01,NA,"SK"
"Andorra","Total",2015-11-01,0,"TOTAL"
"Andorra","United Kingdom",2015-11-01,NA,"UK"
"United Arab Emirates","Austria",2015-11-01,NA,"AT"
"United Arab Emirates","Belgium",2015-11-01,NA,"BE"
"United Arab Emirates","Bulgaria",2015-11-01,NA,"BG"
"United Arab Emirates","Switzerland",2015-11-01,NA,"CH"
"United Arab Emirates","Cyprus",2015-11-01,NA,"CY"
"United Arab Emirates","Czech Republic",2015-11-01,NA,"CZ"
"United Arab Emirates","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"United Arab Emirates","Denmark",2015-11-01,NA,"DK"
"United Arab Emirates","Estonia",2015-11-01,NA,"EE"
"United Arab Emirates","Greece",2015-11-01,NA,"EL"
"United Arab Emirates","Spain",2015-11-01,NA,"ES"
"United Arab Emirates","European Union (28 countries)",2015-11-01,0,"EU28"
"United Arab Emirates","Finland",2015-11-01,0,"FI"
"United Arab Emirates","France",2015-11-01,NA,"FR"
"United Arab Emirates","Croatia",2015-11-01,NA,"HR"
"United Arab Emirates","Hungary",2015-11-01,NA,"HU"
"United Arab Emirates","Ireland",2015-11-01,NA,"IE"
"United Arab Emirates","Italy",2015-11-01,NA,"IT"
"United Arab Emirates","Lithuania",2015-11-01,NA,"LT"
"United Arab Emirates","Luxembourg",2015-11-01,NA,"LU"
"United Arab Emirates","Latvia",2015-11-01,NA,"LV"
"United Arab Emirates","Malta",2015-11-01,NA,"MT"
"United Arab Emirates","Netherlands",2015-11-01,NA,"NL"
"United Arab Emirates","Norway",2015-11-01,0,"NO"
"United Arab Emirates","Poland",2015-11-01,NA,"PL"
"United Arab Emirates","Portugal",2015-11-01,NA,"PT"
"United Arab Emirates","Romania",2015-11-01,NA,"RO"
"United Arab Emirates","Sweden",2015-11-01,NA,"SE"
"United Arab Emirates","Slovenia",2015-11-01,NA,"SI"
"United Arab Emirates","Slovakia",2015-11-01,NA,"SK"
"United Arab Emirates","Total",2015-11-01,0,"TOTAL"
"United Arab Emirates","United Kingdom",2015-11-01,NA,"UK"
"Afghanistan","Austria",2015-11-01,NA,"AT"
"Afghanistan","Belgium",2015-11-01,NA,"BE"
"Afghanistan","Bulgaria",2015-11-01,NA,"BG"
"Afghanistan","Switzerland",2015-11-01,NA,"CH"
"Afghanistan","Cyprus",2015-11-01,NA,"CY"
"Afghanistan","Czech Republic",2015-11-01,NA,"CZ"
"Afghanistan","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Afghanistan","Denmark",2015-11-01,NA,"DK"
"Afghanistan","Estonia",2015-11-01,NA,"EE"
"Afghanistan","Greece",2015-11-01,NA,"EL"
"Afghanistan","Spain",2015-11-01,NA,"ES"
"Afghanistan","European Union (28 countries)",2015-11-01,2630,"EU28"
"Afghanistan","Finland",2015-11-01,2630,"FI"
"Afghanistan","France",2015-11-01,NA,"FR"
"Afghanistan","Croatia",2015-11-01,NA,"HR"
"Afghanistan","Hungary",2015-11-01,NA,"HU"
"Afghanistan","Ireland",2015-11-01,NA,"IE"
"Afghanistan","Italy",2015-11-01,NA,"IT"
"Afghanistan","Lithuania",2015-11-01,NA,"LT"
"Afghanistan","Luxembourg",2015-11-01,NA,"LU"
"Afghanistan","Latvia",2015-11-01,NA,"LV"
"Afghanistan","Malta",2015-11-01,NA,"MT"
"Afghanistan","Netherlands",2015-11-01,NA,"NL"
"Afghanistan","Norway",2015-11-01,2525,"NO"
"Afghanistan","Poland",2015-11-01,NA,"PL"
"Afghanistan","Portugal",2015-11-01,NA,"PT"
"Afghanistan","Romania",2015-11-01,NA,"RO"
"Afghanistan","Sweden",2015-11-01,NA,"SE"
"Afghanistan","Slovenia",2015-11-01,NA,"SI"
"Afghanistan","Slovakia",2015-11-01,NA,"SK"
"Afghanistan","Total",2015-11-01,5155,"TOTAL"
"Afghanistan","United Kingdom",2015-11-01,NA,"UK"
"Antigua and Barbuda","Austria",2015-11-01,NA,"AT"
"Antigua and Barbuda","Belgium",2015-11-01,NA,"BE"
"Antigua and Barbuda","Bulgaria",2015-11-01,NA,"BG"
"Antigua and Barbuda","Switzerland",2015-11-01,NA,"CH"
"Antigua and Barbuda","Cyprus",2015-11-01,NA,"CY"
"Antigua and Barbuda","Czech Republic",2015-11-01,NA,"CZ"
"Antigua and Barbuda","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Antigua and Barbuda","Denmark",2015-11-01,NA,"DK"
"Antigua and Barbuda","Estonia",2015-11-01,NA,"EE"
"Antigua and Barbuda","Greece",2015-11-01,NA,"EL"
"Antigua and Barbuda","Spain",2015-11-01,NA,"ES"
"Antigua and Barbuda","European Union (28 countries)",2015-11-01,0,"EU28"
"Antigua and Barbuda","Finland",2015-11-01,0,"FI"
"Antigua and Barbuda","France",2015-11-01,NA,"FR"
"Antigua and Barbuda","Croatia",2015-11-01,NA,"HR"
"Antigua and Barbuda","Hungary",2015-11-01,NA,"HU"
"Antigua and Barbuda","Ireland",2015-11-01,NA,"IE"
"Antigua and Barbuda","Italy",2015-11-01,NA,"IT"
"Antigua and Barbuda","Lithuania",2015-11-01,NA,"LT"
"Antigua and Barbuda","Luxembourg",2015-11-01,NA,"LU"
